"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-12,2025-11-18,ES-转化-商品系列-混合,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",52,actions:offsite_conversion.fb_pixel_purchase,91751,176514,1.923837,4.801602,16.29903846,52,3.500454,847.55,Ongoing
2025-11-12,2025-11-18,ES-转化-用户诉求-套镜,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",44,actions:offsite_conversion.fb_pixel_purchase,103818,152828,1.472076,4.228675,14.68772727,44,3.303779,646.26,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主-ASC6,inactive,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,41345,45706,1.105478,3.183171,29.098,5,1.340298,145.49,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-无框,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主-ASC5,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,AD-转化-品宣,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-战略部-超轻系列,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,AD-流量-品宣,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-SALES-BOF,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",32,actions:offsite_conversion.fb_pixel_purchase,49216,154213,3.133392,4.303982,20.7415625,32,1.963012,663.73,Ongoing
2025-11-12,2025-11-18,ES-SALES-TOF-COLECCION,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",18,actions:offsite_conversion.fb_pixel_purchase,55769,96528,1.730854,3.60341,19.32388889,18,3.552339,347.83,Ongoing
2025-11-12,2025-11-18,ES-SALES-TOP-CTLG,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-SALES-TOF-CLCC,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",25,actions:offsite_conversion.fb_pixel_purchase,64167,113133,1.763103,3.119249,14.1156,25,3.52532,352.89,Ongoing
2025-11-12,2025-11-18,ES-SALES-TOF-BF,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",738,actions:offsite_conversion.fb_pixel_add_to_cart,150576,374588,2.487701,4.124959,2.09371274,59,2.024353,1545.16,Ongoing
2025-11-12,2025-11-18,ES-SALES-TOF-BF2,active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",11,actions:offsite_conversion.fb_pixel_purchase,17022,32691,1.920515,5.807409,17.25909091,11,2.721517,189.85,Ongoing
2025-11-12,2025-11-18,ES-新品系列-战略部-一对十二系列-ASC-ATC,active,500,Daily,"7-day click, 1-day view, or 1-day engaged-view",87,actions:offsite_conversion.fb_pixel_add_to_cart,63592,80902,1.272204,5.15525,4.79390805,3,0.412209,417.07,Ongoing
2025-11-12,2025-11-18,ES-点击-品宣,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-产品-目录-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品-New,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-点击-地域-Elche,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-用户画像-组3-图,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-用户画像-组4-视频,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-战略部-新品系列,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主-ASC3,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-Top50-Catalog,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-INS,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"New Sales Campaign",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-套镜,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,TOF-ES-转化-地域-Elche,inactive,20,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-用户画像-组2,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-花卉,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-CLIPS,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品-变色,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,TOF-ES-转化-地域-Elche,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-Colleccion,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品爆款-博主图,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品测款,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品-测试,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
