"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-14,2025-11-20,PGC1,active,品宣-PGC1,0,ABSOLUTE_OCPM,200,Daily,2025-09-24T07:16:12+0200,"7-day click, 1-day view, or 1-day engaged-view",56,actions:offsite_conversion.fb_pixel_add_to_cart,11182,12803,1.144965,7.873155,1.8,6,"Below average - Bottom 35% of ads","Above average","Above average",4.010615,100.8,Ongoing
2025-11-14,2025-11-20,图,active,促销季,0,ABSOLUTE_OCPM,50,Daily,2025-07-24T04:51:26+0200,"7-day click, 1-day view, or 1-day engaged-view",9,actions:offsite_conversion.fb_pixel_purchase,6010,7734,1.286855,4.542281,3.90333333,9,-,-,-,10.411614,35.13,Ongoing
2025-11-14,2025-11-20,爆款系列,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",11,actions:offsite_conversion.fb_pixel_purchase,34026,61497,1.807353,2.822251,15.77818182,11,-,-,-,3.079108,173.56,Ongoing
2025-11-14,2025-11-20,FU,active,复古系列-加购,0,ABSOLUTE_OCPM,110,Daily,2025-08-20T05:07:39+0200,"7-day click, 1-day view, or 1-day engaged-view",68,actions:offsite_conversion.fb_pixel_add_to_cart,37297,53363,1.430759,3.090531,2.42529412,8,Average,"Above average","Above average",2.209132,164.92,Ongoing
2025-11-14,2025-11-20,NX,active,女性力量系列-加购,0,ABSOLUTE_OCPM,100,Daily,2025-07-14T04:35:37+0200,"7-day click, 1-day view, or 1-day engaged-view",105,actions:offsite_conversion.fb_pixel_add_to_cart,36097,52591,1.456935,4.60421,2.30609524,6,Average,"Above average","Above average",0.377302,242.14,Ongoing
2025-11-14,2025-11-20,NX,active,女性力量系列-加购,0,ABSOLUTE_OCPM,100,Daily,2025-07-14T04:35:37+0200,"7-day click, 1-day view, or 1-day engaged-view",,,1269,1611,1.269504,7.051521,,2,-,-,-,22.577465,11.36,Ongoing
2025-11-14,2025-11-20,TJC,active,商品系列-TJC,0,ABSOLUTE_OCPM,120,Daily,2025-07-22T04:54:52+0200,"7-day click, 1-day view, or 1-day engaged-view",,,159,187,1.176101,8.02139,,,-,-,-,,1.5,Ongoing
2025-11-14,2025-11-20,FU,active,复古系列-加购,0,ABSOLUTE_OCPM,110,Daily,2025-08-20T05:07:39+0200,"7-day click, 1-day view, or 1-day engaged-view",27,actions:offsite_conversion.fb_pixel_add_to_cart,20706,23946,1.156476,3.608536,3.20037037,1,Average,Average,"Above average",0.721097,86.41,Ongoing
2025-11-14,2025-11-20,ASC4,active,博主-ASC4,0,ABSOLUTE_OCPM,120,Daily,2025-07-25T09:00:36+0200,"7-day click, 1-day view, or 1-day engaged-view",23,actions:offsite_conversion.fb_pixel_purchase,50720,60621,1.195209,3.675459,9.6873913,23,"Below average - Bottom 35% of ads","Above average",Average,8.632736,222.81,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",7,actions:landing_page_view,239,244,1.020921,2.377049,0.08285714,,-,-,-,,0.58,Ongoing
2025-11-14,2025-11-20,TJ-DB,active,用户诉求-套镜-对比,0,ABSOLUTE_OCPM,70,Daily,2025-09-24T07:47:13+0200,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,20042,25216,1.258158,4.792592,30.2125,4,Average,"Above average","Below average - Bottom 35% of ads",2.49698,120.85,Ongoing
2025-11-14,2025-11-20,FU,active,复古系列-加购,0,ABSOLUTE_OCPM,110,Daily,2025-08-20T05:07:39+0200,"7-day click, 1-day view, or 1-day engaged-view",22,actions:offsite_conversion.fb_pixel_add_to_cart,8335,11245,1.34913,5.444197,2.78272727,2,"Below average - Bottom 35% of ads",Average,"Above average",1.41114,61.22,Ongoing
2025-11-14,2025-11-20,TJC,active,商品系列-TJC,0,ABSOLUTE_OCPM,120,Daily,2025-07-22T04:54:52+0200,"7-day click, 1-day view, or 1-day engaged-view",29,actions:offsite_conversion.fb_pixel_purchase,38787,57774,1.48952,6.225984,12.40344828,29,"Below average - Bottom 35% of ads","Above average",Average,5.527273,359.7,Ongoing
2025-11-14,2025-11-20,TJ-DB,active,用户诉求-套镜-对比,0,ABSOLUTE_OCPM,70,Daily,2025-09-24T07:47:13+0200,"7-day click, 1-day view, or 1-day engaged-view",20,actions:offsite_conversion.fb_pixel_purchase,50539,67000,1.325709,4.156269,13.9235,20,"Below average - Bottom 35% of ads","Above average",Average,3.757927,278.47,Ongoing
2025-11-14,2025-11-20,BS2,active,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,"7-day click, 1-day view, or 1-day engaged-view",8,actions:offsite_conversion.fb_pixel_purchase,31166,52573,1.68687,3.564187,23.4225,8,-,-,-,4.059932,187.38,Ongoing
2025-11-14,2025-11-20,TJ,active,商品系列-套镜,0,ABSOLUTE_OCPM,70,Daily,2025-08-22T07:07:08+0200,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,1820,2262,1.242857,5.702918,6.45,2,Average,"Above average",Average,13.665116,12.9,Ongoing
2025-11-14,2025-11-20,TJ-DB,active,用户诉求-套镜-对比,0,ABSOLUTE_OCPM,70,Daily,2025-09-24T07:47:13+0200,"7-day click, 1-day view, or 1-day engaged-view",,,95,107,1.126316,7.009346,,,-,-,-,,0.75,Ongoing
2025-11-14,2025-11-20,NX,active,女性力量系列-加购,0,ABSOLUTE_OCPM,100,Daily,2025-07-14T04:35:37+0200,"7-day click, 1-day view, or 1-day engaged-view",71,actions:offsite_conversion.fb_pixel_add_to_cart,18035,28210,1.564181,5.246012,2.0843662,4,-,-,-,1.171025,147.99,Ongoing
2025-11-14,2025-11-20,NX,active,女性力量系列-加购,0,ABSOLUTE_OCPM,100,Daily,2025-07-14T04:35:37+0200,"7-day click, 1-day view, or 1-day engaged-view",16,actions:offsite_conversion.fb_pixel_add_to_cart,3437,4978,1.448356,7.221776,2.246875,2,Average,Average,"Above average",2.432545,35.95,Ongoing
2025-11-14,2025-11-20,XP,active,商品系列-新品系列,0,ABSOLUTE_OCPM,50,Daily,2025-10-11T08:26:27+0200,"7-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,17521,24279,1.385709,3.791754,13.15142857,7,Average,"Above average",Average,4.769824,92.06,Ongoing
2025-11-14,2025-11-20,ASC6,not_delivering,博主-ASC6,0,ABSOLUTE_OCPM,70,Daily,2025-09-24T07:28:40+0200,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,1543,1578,1.022683,2.756654,4.35,1,Average,"Above average",Average,1.31954,4.35,Ongoing
2025-11-14,2025-11-20,XP,active,商品系列-新品系列,0,ABSOLUTE_OCPM,50,Daily,2025-10-11T08:26:27+0200,"7-day click, 1-day view, or 1-day engaged-view",11,actions:offsite_conversion.fb_pixel_purchase,23924,33728,1.409798,5.007412,15.35363636,11,Average,"Above average",Average,3.775712,168.89,Ongoing
2025-11-14,2025-11-20,图,active,促销季,0,ABSOLUTE_OCPM,50,Daily,2025-07-24T04:51:26+0200,"7-day click, 1-day view, or 1-day engaged-view",6,actions:offsite_conversion.fb_pixel_purchase,10192,13704,1.344584,4.652656,10.62666667,6,"Below average - Bottom 35% of ads",Average,"Above average",5.55803,63.76,Ongoing
2025-11-14,2025-11-20,图,active,促销季,0,ABSOLUTE_OCPM,50,Daily,2025-07-24T04:51:26+0200,"7-day click, 1-day view, or 1-day engaged-view",,,133,145,1.090226,6.344828,,,-,-,-,,0.92,Ongoing
2025-11-14,2025-11-20,图,active,促销季,0,ABSOLUTE_OCPM,50,Daily,2025-07-24T04:51:26+0200,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,6656,8341,1.253155,3.873636,10.77,3,Average,Average,Average,5.104921,32.31,Ongoing
2025-11-14,2025-11-20,OU,active,BOF-Ordered,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:56:05+0100,"7-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,18933,61593,3.253209,4.570325,40.21428571,7,Average,"Above average",Average,1.180036,281.5,Ongoing
2025-11-14,2025-11-20,NOU,active,"BOF- Non-Ordered",0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",29,actions:offsite_conversion.fb_pixel_purchase,38642,92730,2.399721,4.464251,14.27482759,29,Average,"Above average",Average,3.276349,413.97,Ongoing
2025-11-14,2025-11-20,BS2,active,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,"7-day click, 1-day view, or 1-day engaged-view",,,671,808,1.204173,2.722772,,,-,-,-,,2.2,Ongoing
2025-11-14,2025-11-20,BS2,active,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,"7-day click, 1-day view, or 1-day engaged-view",12,actions:offsite_conversion.fb_pixel_purchase,32274,52663,1.631747,2.808423,12.325,12,-,-,-,3.567005,147.9,Ongoing
2025-11-14,2025-11-20,BS2,active,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,"7-day click, 1-day view, or 1-day engaged-view",,,1374,1727,1.256914,2.877823,,,-,-,-,,4.97,Ongoing
2025-11-14,2025-11-20,CAREY,active,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,"7-day click, 1-day view, or 1-day engaged-view",,,287,316,1.101045,2.563291,,,-,-,-,,0.81,Ongoing
2025-11-14,2025-11-20,CAREY,active,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,"7-day click, 1-day view, or 1-day engaged-view",,,31,32,1.032258,3.4375,,,-,-,-,,0.11,Ongoing
2025-11-14,2025-11-20,CAREY,active,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,"7-day click, 1-day view, or 1-day engaged-view",,,490,540,1.102041,4.018519,,,-,-,-,,2.17,Ongoing
2025-11-14,2025-11-20,FR,active,TOF-CLCC-FlORAL,0,ABSOLUTE_OCPM,50,Daily,2025-11-07T08:09:57+0100,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,5101,6899,1.35248,2.625018,18.11,1,-,-,-,1.464384,18.11,Ongoing
2025-11-14,2025-11-20,FR,active,TOF-CLCC-FlORAL,0,ABSOLUTE_OCPM,50,Daily,2025-11-07T08:09:57+0100,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,846,909,1.074468,2.233223,2.03,1,-,-,-,24.448276,2.03,Ongoing
2025-11-14,2025-11-20,FR,active,TOF-CLCC-FlORAL,0,ABSOLUTE_OCPM,50,Daily,2025-11-07T08:09:57+0100,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,4721,6542,1.385723,2.465607,16.13,1,-,-,-,2.071296,16.13,Ongoing
2025-11-14,2025-11-20,FR,active,TOF-CLCC-FlORAL,0,ABSOLUTE_OCPM,50,Daily,2025-11-07T08:09:57+0100,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,1789,2044,1.142538,3.214286,6.57,1,-,-,-,6.042618,6.57,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",38,actions:offsite_conversion.fb_pixel_add_to_cart,8700,11241,1.292069,6.514545,1.92710526,3,"Below average - Bottom 35% of ads",Average,"Above average",6.141062,73.23,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,22,25,1.136364,9.2,,,-,-,-,,0.23,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,62,66,1.064516,7.575758,,,-,-,-,,0.5,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,13,13,1,4.615385,,,-,-,-,,0.06,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,33,35,1.060606,6.857143,,,-,-,-,,0.24,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,12,13,1.083333,6.923077,,,-,-,-,,0.09,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,178,196,1.101124,5.969388,,,-,-,-,,1.17,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",11,actions:offsite_conversion.fb_pixel_add_to_cart,4126,5540,1.342705,6.211191,3.12818182,,-,-,-,,34.41,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",445,actions:offsite_conversion.fb_pixel_add_to_cart,125437,237861,1.896259,3.265479,1.74546067,32,Average,"Above average","Above average",1.59484,776.73,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,98,105,1.071429,6.857143,,,-,-,-,,0.72,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,21,22,1.047619,10.909091,,,-,-,-,,0.24,Ongoing
2025-11-14,2025-11-20,BF2-1€,active,TOF-BF2-1€,0,ABSOLUTE_OCPM,70,Daily,2025-11-13T03:22:28+0100,"7-day click, 1-day view, or 1-day engaged-view",28,actions:offsite_conversion.fb_pixel_add_to_cart,14124,17750,1.256726,3.931268,2.49214286,1,Average,"Above average","Above average",1.486529,69.78,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",,,664,775,1.167169,4.606452,,,Average,Average,"Above average",,3.57,Ongoing
2025-11-14,2025-11-20,爆款系列-图3,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",,,1735,2084,1.201153,4.3762,,,-,-,-,,9.12,Ongoing
2025-11-14,2025-11-20,混搭1,active,组2-混合,0,ABSOLUTE_OCPM,70,Daily,2025-06-24T11:03:41+0200,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_add_to_cart,42,44,1.047619,10,0.11,,-,-,-,,0.44,Ongoing
2025-11-14,2025-11-20,混搭1,active,组2-混合,0,ABSOLUTE_OCPM,70,Daily,2025-06-24T11:03:41+0200,"7-day click, 1-day view, or 1-day engaged-view",,,56,63,1.125,7.301587,,,-,-,-,,0.46,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",11,actions:landing_page_view,234,250,1.068376,2.36,0.05363636,,-,-,-,,0.59,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",6,actions:landing_page_view,213,228,1.070423,2.45614,0.09333333,,-,-,-,,0.56,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",,,74,75,1.013514,1.2,,,-,-,-,,0.09,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_add_to_cart,741,802,1.082321,4.102244,1.645,,-,-,-,,3.29,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",,,387,440,1.136951,4.636364,,,-,-,-,,2.04,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",67,actions:offsite_conversion.fb_pixel_add_to_cart,16277,23876,1.466855,3.995644,1.4238806,6,-,-,-,3.696436,95.4,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",22,actions:offsite_conversion.fb_pixel_add_to_cart,5640,6665,1.181738,3.375844,1.02272727,2,-,-,-,6.132,22.5,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_add_to_cart,219,235,1.073059,5.659574,0.665,,-,-,-,,1.33,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",,,285,328,1.150877,4.939024,,,-,-,-,,1.62,Ongoing
2025-11-14,2025-11-20,DAPA-595-AP,active,DAPA-595,0,ABSOLUTE_OCPM,140,Daily,2025-11-14T02:00:59+0100,"7-day click or 1-day view",63,actions:offsite_conversion.fb_pixel_purchase,100933,268131,2.656525,3.047242,12.96920635,63,-,-,-,3.992485,817.06,Ongoing
2025-11-14,2025-11-20,图,active,促销季,0,ABSOLUTE_OCPM,50,Daily,2025-07-24T04:51:26+0200,"7-day click, 1-day view, or 1-day engaged-view",,,150,167,1.113333,6.586826,,,-,-,-,,1.1,Ongoing
2025-11-14,2025-11-20,图,active,促销季,0,ABSOLUTE_OCPM,50,Daily,2025-07-24T04:51:26+0200,"7-day click, 1-day view, or 1-day engaged-view",,,52,57,1.096154,2.807018,,,-,-,-,,0.16,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",,,40,42,1.05,1.904762,,,-,-,-,,0.08,Ongoing
2025-11-14,2025-11-20,FU,active,复古系列-加购,0,ABSOLUTE_OCPM,110,Daily,2025-08-20T05:07:39+0200,"7-day click, 1-day view, or 1-day engaged-view",,,47,50,1.06383,6.4,,,-,-,-,,0.32,Ongoing
2025-11-14,2025-11-20,BS2,active,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,"7-day click, 1-day view, or 1-day engaged-view",,,1985,2686,1.353149,2.669397,,,-,-,-,,7.17,Ongoing
2025-11-14,2025-11-20,CAREY,active,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,"7-day click, 1-day view, or 1-day engaged-view",,,101,113,1.118812,2.035398,,,-,-,-,,0.23,Ongoing
2025-11-14,2025-11-20,BF,active,TOF-BF-1€,0,ABSOLUTE_OCPM,130,Daily,2025-11-12T09:04:07+0100,"7-day click, 1-day view, or 1-day engaged-view",,,21,21,1,4.761905,,,-,-,-,,0.1,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",,,387,411,1.062016,7.372263,,,-,-,-,,3.03,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",,,1742,2067,1.186567,7.058539,,,"Below average - Bottom 35% of ads","Above average","Above average",,14.59,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",,,676,741,1.096154,5.384615,,,Average,"Above average","Above average",,3.99,Ongoing
2025-11-14,2025-11-20,CAREY,active,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,"7-day click, 1-day view, or 1-day engaged-view",,,313,367,1.172524,4.713896,,,-,-,-,,1.73,Ongoing
2025-11-14,2025-11-20,BF2-1€,active,TOF-BF2-1€,0,ABSOLUTE_OCPM,70,Daily,2025-11-13T03:22:28+0100,"7-day click, 1-day view, or 1-day engaged-view",8,actions:offsite_conversion.fb_pixel_add_to_cart,3313,4149,1.252339,6.172572,3.20125,,"Below average - Bottom 35% of ads",Average,"Above average",,25.61,Ongoing
2025-11-14,2025-11-20,BF2-1€,active,TOF-BF2-1€,0,ABSOLUTE_OCPM,70,Daily,2025-11-13T03:22:28+0100,"7-day click, 1-day view, or 1-day engaged-view",45,actions:offsite_conversion.fb_pixel_add_to_cart,17822,24683,1.384974,5.661792,3.10555556,4,"Below average - Bottom 35% of ads",Average,"Above average",1.369445,139.75,Ongoing
2025-11-14,2025-11-20,BF2-1€,active,TOF-BF2-1€,0,ABSOLUTE_OCPM,70,Daily,2025-11-13T03:22:28+0100,"7-day click, 1-day view, or 1-day engaged-view",,,1330,1517,1.140602,6.558998,,,"Below average - Bottom 35% of ads",Average,"Above average",,9.95,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,17646,25434,1.441346,5.664858,20.58285714,7,"Below average - Bottom 35% of ads","Above average","Above average",2.947668,144.08,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,2855,3474,1.216813,5.325273,6.16666667,3,"Below average - Bottom 35% of ads","Above average","Above average",7.185405,18.5,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",,,159,164,1.031447,4.512195,,,-,-,-,,0.74,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",,,307,339,1.104235,6.40118,,,-,-,-,,2.17,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",,,183,193,1.054645,6.165803,,,-,-,-,,1.19,Ongoing
2025-11-14,2025-11-20,BF3-1€,active,TOF-BF3-1€,0,ABSOLUTE_OCPM,50,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",103,actions:offsite_conversion.fb_pixel_add_to_cart,27849,40276,1.446228,6.032128,2.35873786,5,Average,"Above average","Above average",0.837497,242.95,Ongoing
2025-11-14,2025-11-20,"POP07 2",active,"战略部-MGAPOP MIX",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-18T09:24:09+0100,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_add_to_cart,359,384,1.069638,5.494792,1.055,,-,-,-,,2.11,Ongoing
2025-11-14,2025-11-20,POP03,active,"战略部-MGAPOP MIX",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-18T09:24:09+0100,"7-day click, 1-day view, or 1-day engaged-view",,,481,558,1.160083,6.272401,,,-,-,-,,3.5,Ongoing
2025-11-14,2025-11-20,POP02,active,"战略部-MGAPOP MIX",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-18T09:24:09+0100,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_add_to_cart,179,194,1.083799,5,0.97,,-,-,-,,0.97,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",,,411,461,1.121655,6.073753,,,-,-,-,,2.8,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,9594,13104,1.365854,5.32967,9.97714286,7,"Below average - Bottom 35% of ads","Above average","Above average",1.688717,69.84,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,5613,7268,1.294851,5.116951,9.2975,4,-,-,-,10.371336,37.19,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,2873,3627,1.262443,6.650124,12.06,2,Average,"Above average","Above average",7.633499,24.12,Ongoing
2025-11-14,2025-11-20,BF2,active,TOP-BF2,0,ABSOLUTE_OCPM,100,Daily,2025-11-17T08:02:23+0100,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,5212,7267,1.394282,6.068529,11.025,4,"Below average - Bottom 35% of ads","Above average","Above average",3.754195,44.1,Ongoing
2025-11-14,2025-11-20,POPMIX,active,"战略部-MGAPOP MIX",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-18T09:24:09+0100,"7-day click, 1-day view, or 1-day engaged-view",14,actions:offsite_conversion.fb_pixel_add_to_cart,11351,13258,1.168003,5.711269,5.40857143,,Average,Average,"Above average",,75.72,Ongoing
2025-11-14,2025-11-20,"POP07 1",active,"战略部-MGAPOP MIX",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-18T09:24:09+0100,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_add_to_cart,371,405,1.091644,5.209877,2.11,,-,-,-,,2.11,Ongoing
