"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-14,2025-11-20,BF2-1€,active,TOF-BF2-1€,0,ABSOLUTE_OCPM,70,Daily,2025-11-13T03:22:28+0100,"7-day click, 1-day view, or 1-day engaged-view",81,actions:offsite_conversion.fb_pixel_add_to_cart,20762,30109,1.450197,4.482381,1.66617284,5,-,-,-,1.253779,134.96,Ongoing
2025-11-14,2025-11-20,豹纹,not_delivering,组3-豹纹,0,ABSOLUTE_OCPM,50,Daily,2025-06-26T07:46:47+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,豹纹,not_delivering,组3-豹纹,0,ABSOLUTE_OCPM,50,Daily,2025-06-26T07:46:47+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,豹纹,not_delivering,组3-豹纹,0,ABSOLUTE_OCPM,50,Daily,2025-06-26T07:46:47+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BW,not_delivering,豹纹系列-加购,0,ABSOLUTE_OCPM,60,Daily,2025-08-20T05:00:07+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BW,not_delivering,豹纹系列-加购,0,ABSOLUTE_OCPM,60,Daily,2025-08-20T05:00:07+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BW,not_delivering,豹纹系列-加购,0,ABSOLUTE_OCPM,60,Daily,2025-08-20T05:00:07+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,无框,not_delivering,ES-转化-商品系列-无框,0,ABSOLUTE_OCPM,40,Daily,2025-09-26T07:23:21+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BS2,inactive,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,ASC6,not_delivering,博主-ASC6,0,ABSOLUTE_OCPM,70,Daily,2025-09-24T07:28:40+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
